Designator,Mid X,Mid Y,Rotation,Layer
A1,102.13,-101.84,180.0,top
A2,120.989999,-108.109999,180.0,top
C1,127.6,-93.73238,90.0,top
J1,120.99,-121.0,270.0,top
J2,117.25,-88.65,180.0,top
J3,99.0,-92.96,180.0,top
